url	download_complete
www.ics.uci.edu/community/friends/proj125/proj125_faq.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/364a_files/sheet005.html	complete
www.ics.uci.edu/computing/services/msoffice.php	complete
www.ics.uci.edu/about/bren/gallery/gallery_11_jpg.php	complete
www.ics.uci.edu/computing/contact/staff.php	complete
www.ics.uci.edu/community/events/extreme/mentor/index.php	complete
www.ics.uci.edu/~lab/policies/index.php	complete
www.ics.uci.edu/community/icsjobs/index.php	complete
www.ics.uci.edu/community/events/openhouse/gallery_09.html	complete
www.ics.uci.edu/community/events/openhouse/gallery_11.html	complete
www.ics.uci.edu/ugrad/index.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/162_files/sheet001.html	complete
www.ics.uci.edu/ugrad/degrees/Second_BA_SE.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/183_files/sheet005.html	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/170_files/sheet003.html	complete
www.ics.uci.edu/about/bren/bren_about.php	complete
support.ics.uci.edu//ics.system/feed.xml	complete
www.ics.uci.edu/community/events/openhouse/research01.html	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/189_files/sheet005.html	complete
www.ics.uci.edu/about/bren/gallery/gallery_07_jpg.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/192_files/sheet004.html	complete
www.ics.uci.edu/about/bren/gallery/gallery_06_jpg.php	complete
www.ics.uci.edu/about/search/search_communications.php	complete
www.ics.uci.edu/about/bren/gallery/gallery_14_jpg.php	complete
www.ics.uci.edu/community/events/openhouse/research10.html	complete
www.ics.uci.edu/statistics/grad/index.php	complete
www.ics.uci.edu/computing/services/microsoft_imagine.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/170_files/sheet002.html	complete
www.ics.uci.edu/community/scholarships/scholar_corporate.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/364a_files/sheet001.html	complete
www.ics.uci.edu/grad/policies/GradPolicies_Grading.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/162_files/filelist.xml	complete
www.ics.uci.edu/%7elab/students/faq.php	complete
www.ics.uci.edu/ugrad/QA_After_Graduation.php	complete
support.ics.uci.edu/sitemap.php	complete
www.ics.uci.edu/~lab/faculties/index.php	complete
www.ics.uci.edu/about/about_safety.php	complete
www.ics.uci.edu/about/annualreport/2006-07/numbers.php	complete
www.ics.uci.edu/computing/account/faqs.php	complete
www.ics.uci.edu/community/news/student_blogs/blog_posts/Emma_Anderson.php	complete
www.ics.uci.edu/community/events/openhouse/research09.html	complete
www.ics.uci.edu/computing/account/mapdrive_win.php	complete
www.ics.uci.edu/grad/financial/index.php	complete
www.ics.uci.edu/community/events/minsky/index.php	complete
www.ics.uci.edu/computing/linux/modules.php	complete
www.ics.uci.edu/ugrad/qa/index.php	complete
www.ics.uci.edu/ugrad/resources/index.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/162_files/sheet005.html	complete
www.ics.uci.edu/ugrad/degrees/degree_cse.php	complete
www.ics.uci.edu/faculty/area/area_os.php	complete
www.ics.uci.edu/grad/policies/GradPolicies_GradStudentReview.php	complete
www.ics.uci.edu/faculty/area/area_algorithms.php	complete
www.ics.uci.edu/../statistics/index.php	complete
www.ics.uci.edu/community/events/openhouse/school.html	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/183_files/sheet003.html	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/364a.html	complete
www.ics.uci.edu/computing/services/snapshot.php	complete
www.ics.uci.edu/computing/linux/hosts.php	complete
www.ics.uci.edu/faculty/area/area_ubi.php	complete
www.ics.uci.edu/ugrad/policies/Laptop_ComputerUse.php	complete
www.ics.uci.edu/community/events/openhouse/gallery_04.html	complete
www.ics.uci.edu/about/search/search_business.php	complete
www.ics.uci.edu/%7elab/labs_specs/index.php	complete
www.ics.uci.edu/%7elab/policies/index.php	complete
www.ics.uci.edu/%7elab/labs_specs/hardware.php	complete
www.ics.uci.edu/community/alumni/mentor/mentor_list.php	complete
www.ics.uci.edu/%7Edjr/DebraJRichardson/SE4S.html	complete
www.ics.uci.edu/community/news/index.php	complete
www.ics.uci.edu/computerscience/news/news_2007.php	complete
www.ics.uci.edu/computing/linux/file-security.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/162_files/sheet005.html	complete
www.ics.uci.edu/informatics/news/news_2007.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/192.html	complete
www.ics.uci.edu/community/events/extreme/hitec_awards_2009.php	complete
www.ics.uci.edu/../statistics/grad/index.php	complete
www.ics.uci.edu/ugrad/resources/ICS_StudentLife_nonTechOpps.php	complete
www.ics.uci.edu/faculty/area/area_security.php	complete
www.ics.uci.edu/ugrad/resources/ICS_StudentOrgs.php	complete
www.ics.uci.edu/about/search/search_dean.php	complete
www.ics.uci.edu/%7elab/lab_schedule/spring_finals.php	complete
www.ics.uci.edu/grad/policies/GradPolicies_CommitteeMembers.php	complete
www.ics.uci.edu/%7elab/lab_assistants/index.php	complete
www.ics.uci.edu/grad/policies/GradPolicies_SexualHarassment.php	complete
www.ics.uci.edu/grad/policies/index.php	complete
www.ics.uci.edu/%7elab/proj_ics/grp_acct.php	complete
www.ics.uci.edu/community/alumni/index.php	complete
www.ics.uci.edu/community/events/openhouse/gift.html	complete
www.ics.uci.edu/community/friends/proj125/proj125_samples.php	complete
www.ics.uci.edu/ugrad/honors/honors_plan.php	complete
www.ics.uci.edu/faculty/area/area_biomed.php	complete
www.ics.uci.edu/community/news/student_blogs/index.php	complete
www.ics.uci.edu/community/events/openhouse/dedication.html	complete
www.ics.uci.edu/%7elab/lab_schedule/spring.php	complete
www.ics.uci.edu/community/scholarships/scholarship_application.php	complete
www.ics.uci.edu/ugrad/distribution/index.php	complete
www.ics.uci.edu/~lab/lab_schedule/spring_finals.php	complete
www.ics.uci.edu/ugrad/admissions/index.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/192_files/filelist.xml	complete
www.ics.uci.edu/employment/employ_staff.php	complete
www.ics.uci.edu/ugrad/sao/Course_updates.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/189_files/sheet002.html	complete
www.ics.uci.edu/community/events/openhouse/research06.html	complete
www.ics.uci.edu/community/events/extreme/intent/index.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/183_files/sheet004.html	complete
www.ics.uci.edu/about/search/search_facilities.php	complete
www.ics.uci.edu/faculty/area/area_multimedia.php	complete
www.ics.uci.edu/~lab/proj_ics/policy.php	complete
www.ics.uci.edu/community/news/student_blogs/blog_posts/Ittai-Mann-December2017.php	complete
www.ics.uci.edu/faculty/area/area_embedded.php	complete
www.ics.uci.edu/community/events/extreme/index.php	complete
www.ics.uci.edu/community/events/extreme/extreme_guidelines.php	complete
www.ics.uci.edu/about/search/search_dept_cs.php	complete
www.ics.uci.edu/ugrad/policies/Add_Drop_ChangeOption.php	complete
www.ics.uci.edu/faculty/area/area_vision.php	complete
www.ics.uci.edu/community/news/student_blogs/blog_posts/Roxanna-Shaik-November2017.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/162_files/sheet004.html	complete
www.ics.uci.edu/../informatics/ugrad/index.php	complete
www.ics.uci.edu/ugrad/policies/OLD_index.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/170.html	complete
www.ics.uci.edu/~lab/proj_ics/index.php	complete
www.ics.uci.edu/about/visit/visit_fromLAX.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/364a_files/sheet004.html	complete
www.ics.uci.edu/%7elab/lab_assistants/job_description.php	complete
www.ics.uci.edu/computing/linux/services.php	complete
www.ics.uci.edu/about/annualreport/2006-07/alumni.php	complete
www.ics.uci.edu/about/bren/bren_advance.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/162_files/sheet002.html	complete
www.ics.uci.edu/community/alumni/hall_of_fame/inductees.aspx.php	complete
www.ics.uci.edu/about/brenhall/index.php	complete
www.ics.uci.edu/community/alumni/mentor/mentee_signup.php	complete
www.ics.uci.edu/about/bren/gallery/gallery_12_jpg.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/162_files/sheet003.html	complete
www.ics.uci.edu/ugrad/degrees/Minors.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/189_files/sheet004.html	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/183.html	complete
www.ics.uci.edu/community/alumni/mentor/mentor_tips.php	complete
www.ics.uci.edu/faculty/area/area_scientific.php	complete
www.ics.uci.edu/computing/linux/shell.php	complete
www.ics.uci.edu/about/about_mission.php	complete
www.ics.uci.edu/%7elab/students/acct_activate.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/183_files/sheet002.html	complete
www.ics.uci.edu/ugrad/policies/Taking courses for readmission after DQ.php	complete
www.ics.uci.edu/community/events/openhouse/gallery_03.html	complete
www.ics.uci.edu/about/videos/index.php	complete
www.ics.uci.edu/computing/email/google_vacation.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/170_files/filelist.xml	complete
www.ics.uci.edu/computing/services/microsoft_dreamspark.php	complete
www.ics.uci.edu/ugrad/sao/Appts_Walk-Ins.php	complete
www.ics.uci.edu/computing/policy/index.php	complete
www.ics.uci.edu/computerscience/news/news_2006.php	complete
www.ics.uci.edu/community/events/openhouse/research08.html	complete
www.ics.uci.edu/computing/unix/printing.php	complete
www.ics.uci.edu/about/annualreport/index.php	complete
www.ics.uci.edu/computing/linux/access.php	complete
www.ics.uci.edu/about/bren/bren_press.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/189_files/filelist.xml	complete
www.ics.uci.edu/about/bren/gallery/gallery_13_jpg.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/183_files/filelist.xml	complete
www.ics.uci.edu/about/about_meet_the_dean.php	complete
www.ics.uci.edu/community/events/openhouse/gallery_14.html	complete
www.ics.uci.edu/about/annualreport/2006-07/index.php	complete
www.ics.uci.edu/about/annualreport/2005-06/events.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/364a_files/sheet003.html	complete
www.ics.uci.edu/computing/email/google_setup.php	complete
www.ics.uci.edu/faculty/area/area_cscw.php	complete
www.ics.uci.edu/community/alumni/mentor/mentor_signup.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/192_files/sheet003.html	complete
www.ics.uci.edu/community/alumni/stayconnected/index.php	complete
www.ics.uci.edu/community/events/openhouse/index.html	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/162_files/sheet003.html	complete
www.ics.uci.edu/community/events/openhouse/gallery_07.html	complete
www.ics.uci.edu/community/friends/proj125/index.php	complete
www.ics.uci.edu/~lab/lab_schedule/schedules/183_files/sheet002.html	complete
www.ics.uci.edu/%7elab/proj_ics/policy.php	complete
